ID,Programme Name,Date,Venue,Description,Registration Link
1.0,Neighbourhood Clean-Up Drive,20-07-2026,Community Park,Clean the surroundings and promote a healthy environment,https://forms.google.com/cleanup
2.0,Tree Plantation Campaign,25-07-2026,Main Street,Plant trees and contribute towards a greener community,https://forms.google.com/treeplantation
3.0,Health Awareness Camp,30-07-2026,Community Hall,Free health check-up and awareness session,https://forms.google.com/healthcamp
4.0,Swachh Bharat Mission Cleanliness Drive,15-08-2026,Local Community Area,Participate in cleanliness activities and promote hygiene and waste management,https://swachhbharatmission.gov.in
5.0,Tree Plantation Campaign,20-08-2026,Community Park,Join plantation activities to increase greenery and protect the environment,https://moef.gov.in
6.0,Blood Donation Camp,25-08-2026,Community Health Centre,Donate blood and support patients in need,https://www.eraktkosh.in
7.0,Digital Literacy Programme,05-09-2026,Community Hall,Help people learn basic digital skills and online services,https://www.digitalindia.gov.in
8.0,Beach and River Cleaning Drive,10-09-2026,Local Water Bodies,Participate in cleaning campaigns to protect water resources,https://www.mygov.in
9.0,Food Donation Programme,15-09-2026,Local NGO Centre,Volunteer to collect and distribute food to underprivileged communities,https://www.feedingindia.org
10.0,National Service Scheme (NSS) Activities,20-09-2026,Schools and Colleges,Take part in social service activities including awareness campaigns and volunteering,https://nss.gov.in
11.0,Youth Volunteer Programme,25-09-2026,Community Centres,Engage in community development and social responsibility activities,https://www.yuva.gov.in

